title,address,lat,lng
Growing Community Connections,"2300 Williamsburg Dr, Cincinnati, OH 45225",39.1540831,-84.5598308
Charley Harper’s Beguiled by the Wild,"3512 Vine Street, Cincinnati, OH 45220",39.145272,-84.512783
Shining Seas,"1 Aquarium Way, Newport on the Levee, Newport, KY 41071",39.09469,-84.496364
Revival,"131 E. McMicken Street, Cincinnati, OH 45202",39.1138643,-84.513868
Boys Hope Girls Hope,1725 Riverside Drive,34.1598064,-118.3030774
Brewing Heritage: Grain to Glass,"25 Back Street, Cincinnati, Ohio 45202",39.1147242,-84.5153844
Mr. Dynamite,"1437 Main Street, Cincinnati, Ohio 45202",39.1123813,-84.51268979999999
The Queen Shares,"1100 Sycamore Street, Cincinnati, Ohio 45202",39.10818280000001,-84.5092878
The Spirit of Progress,"2116 Duck Creek Road, Cincinnati, Ohio, 45207",39.14304,-84.4616642
Ezzard Charles: The Cincinnati Cobra,"1537 Republic Street, Cincinnati, Ohio 45202",39.1126824,-84.51692849999999
Dawn is Coming: Open Your Eyes,"1000 Sycamore Street, Cincinnati, Ohio 45202",39.1066152,-84.5087679
"Cheers to Cincy, Past and Present!","1625 Central Parkway, Cincinnati, Ohio 45202",39.1149124,-84.5233283
Shine,Central Parkway & Central Parkway,39.1065801,-84.5188684
"Self-Portrait, Elizabeth Nourse","8th Street & Walnut Street, Cincinnati, Ohio 45202",39.1046733,-84.5121833
To Oakley with Love,Oakley Kroger,39.1602479,-84.4272816
#5: We Are Walnut Hills,2429 Gilbert Avenue,39.1252253,-84.4909835
Armstrong,511 Walnut Street,39.1017476,-84.5118246
"Locks, Docks, and Barrels",1008 Marshall Avenue,44.94828820000001,-93.1427489
Riverfront Rise,525 Elm Street,39.1011667,-84.5179805
We Need Education Not Violence,318 East 4th Street,34.077644,-117.647861
Me and You. You and Me.,6620 Montgomery Road,39.1881356,-84.4128678
New Lines,"OTR Alleyways bordered by: Main Street, Liberty Street, 13th Street and Sycamore Street",0,0
Prost to Cincinnati Installation Series,Mini murals and installations are located around the OTR Brewery District,0,0
Rise,1919 Elm Street,39.1170383,-84.52062819999999
Swing Around Rosie,1606 Pleasant Street,41.9669356,-71.0248407
Cincinnati Toy Heritage,23 West Court Street,29.5689091,-97.964823
Little Nemo in Slumberland,917 Main Street,42.3764669,-71.24803159999999
Little Sure Shot,3211 Madison Road,39.1544988,-84.427424
That’s My Dad – “That’s Somebody Else’s Dad” & “Hundreds of Feet”,"1200 Walnut St. Cincinnati, OH 45202",39.108701,-84.51293
Rookwood Revival,"1920 Race St.  Cincinnati, OH 45202",39.1173341,-84.5182926
"Crazy Cat, Crazy Quilt","1107 Walnut St. Cincinnati, OH 45202",39.1077535,-84.5132962
Democracy!,"1200 Walnut St. Cincinnati, OH 45202",39.108701,-84.51293
The Buzz Around Town,"1010 Elm St. Cincinanti, OH 45202",39.1062039,-84.5174033
Razzle Camp,"2940 Colerain Ave. Cincinnati, OH 45225",39.13604249999999,-84.5367279
Faces of Homelessness,"1225 Vine St. Cincinnati, OH 45202",39.10901339999999,-84.5152306
Dream Big and Fly High,"151 W 5th St. Cincinnati, OH 45202",39.1003446,-84.51571849999999
East Price Hill Mural Series,"Warsaw Ave. Cincinnati, OH 45205",39.11037,-84.56867299999999
